Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,1,1429.5,544.0,287.0,602.0,0.47674417,139.9,104.3,30.8,128.7,86.6,18.6,154.7,123.1,136.5,158.3,69.3,150.2,73.5,105.2,100.4,80.9,1
2,1,1730.0,613.5,360.0,471.0,0.7643312,166.7,117.3,81.5,115.6,111.0,19.0,131.4,126.7,81.6,155.6,80.6,123.2,35.8,130.0,151.7,42.6,1
1,2,1426.5,544.5,281.0,601.0,0.46755406,141.4,114.2,32.5,130.4,77.6,20.1,153.8,131.5,135.1,156.7,61.5,148.8,81.7,97.7,93.4,87.2,1
2,2,1731.0,616.0,362.0,466.0,0.77682406,164.9,114.3,81.8,115.2,113.2,19.9,126.0,126.2,78.8,152.5,79.1,118.7,32.5,133.0,155.0,39.5,1
1,3,1426.0,544.5,280.0,599.0,0.46744573,142.8,114.7,33.0,131.5,76.2,20.6,154.8,128.3,135.6,157.5,63.8,149.2,81.7,96.8,96.1,85.4,1
2,3,1731.0,619.5,360.0,463.0,0.7775378,168.5,112.4,83.8,115.7,113.8,23.8,125.2,123.6,77.9,152.0,81.2,116.6,28.6,137.6,158.5,35.3,1
1,4,1423.0,546.0,274.0,594.0,0.46127945,151.5,103.1,32.0,132.2,85.4,21.6,159.4,112.3,139.3,163.2,77.1,150.7,71.1,107.0,108.3,73.6,1
2,4,1732.0,624.0,358.0,456.0,0.7850877,168.9,109.8,89.0,117.8,113.8,36.9,132.5,112.9,83.6,153.0,80.4,105.5,20.8,150.7,163.5,25.0,1
1,5,1420.5,546.5,271.0,593.0,0.45699832,152.0,102.7,32.6,132.5,86.0,21.9,159.2,112.7,137.6,162.4,76.5,148.7,70.1,107.9,109.7,72.3,1
2,5,1734.0,625.5,358.0,453.0,0.79028696,172.5,111.3,91.8,118.0,113.4,39.0,138.5,107.6,88.7,155.1,81.6,106.0,19.6,152.3,163.7,24.4,1
1,6,1416.5,547.0,267.0,592.0,0.4510135,152.9,103.7,33.1,135.2,84.2,23.4,158.8,113.7,136.1,162.8,76.2,147.8,70.5,107.6,110.2,71.7,1
2,6,1733.0,629.0,358.0,446.0,0.80269057,174.8,111.0,92.3,117.5,115.6,37.9,132.8,113.1,81.9,152.8,81.5,104.4,18.7,153.4,164.9,22.9,1
1,7,1415.0,548.0,264.0,592.0,0.44594595,153.7,105.2,34.3,136.7,82.8,24.0,157.6,115.4,133.9,162.0,74.2,145.8,70.9,106.8,110.7,71.6,1
2,7,1733.5,630.5,355.0,443.0,0.8013544,178.4,114.8,97.0,121.3,116.0,39.8,136.1,113.6,81.0,152.1,79.7,100.7,17.8,155.8,165.4,21.0,1
1,8,1414.0,550.0,266.0,588.0,0.45238096,154.5,106.6,34.8,131.5,85.5,19.0,157.9,116.3,133.2,159.8,71.0,144.2,71.8,104.5,110.5,73.2,1
2,8,1732.5,632.0,355.0,440.0,0.8068182,177.9,113.2,97.2,121.4,116.7,42.4,142.1,105.6,88.6,154.9,81.0,100.2,15.9,159.1,165.8,19.2,1
1,9,1413.0,551.5,266.0,585.0,0.45470086,158.4,107.8,38.2,134.4,84.2,22.6,156.2,117.0,129.5,158.9,70.9,141.0,69.6,106.8,113.6,70.1,1
2,9,1731.5,634.5,355.0,435.0,0.81609195,178.4,110.5,95.2,120.2,116.5,42.1,136.5,108.7,83.7,154.5,83.1,101.6,15.3,158.6,167.6,18.5,1
1,10,1412.0,553.5,268.0,583.0,0.45969126,161.9,115.2,42.2,136.9,77.0,25.6,155.0,120.3,125.8,156.8,67.0,137.6,73.0,102.6,113.9,70.5,1
2,10,1730.0,635.5,354.0,433.0,0.817552,176.5,111.2,95.0,117.4,117.9,39.1,137.0,106.1,87.0,155.8,83.5,103.3,16.2,157.0,166.9,19.8,1
1,11,1412.0,554.0,268.0,580.0,0.46206897,162.6,115.3,44.4,138.0,75.8,28.9,153.6,122.7,122.1,155.5,64.6,133.9,70.8,104.6,115.2,69.3,1
2,11,1730.0,637.0,354.0,428.0,0.8271028,179.9,114.8,96.9,124.4,116.0,40.8,145.8,101.9,94.9,155.5,79.6,101.5,18.0,156.9,163.2,21.9,1
1,12,1410.5,556.0,269.0,576.0,0.4670139,161.2,112.8,45.2,145.1,72.4,36.1,151.6,123.1,118.4,153.5,64.3,129.8,67.5,108.5,118.5,65.5,1
2,12,1729.5,639.0,355.0,424.0,0.8372642,178.8,112.8,96.5,128.9,114.8,43.8,140.2,106.2,88.3,153.5,79.4,99.0,16.4,158.6,165.5,19.5,1
1,13,1411.5,559.0,273.0,572.0,0.47727272,164.1,118.6,48.2,147.0,66.9,38.5,153.2,125.6,116.3,156.6,63.9,129.9,70.5,105.4,118.2,66.0,1
2,13,1729.5,641.0,353.0,422.0,0.8364929,176.8,110.8,91.0,129.5,112.5,38.8,123.1,121.0,74.3,150.8,79.4,103.5,19.8,151.4,164.7,24.1,1
1,14,1410.5,561.0,273.0,566.0,0.48233217,164.1,118.5,49.2,144.7,68.8,37.6,151.3,127.3,113.2,154.0,61.3,126.1,69.3,106.3,119.5,64.9,1
2,14,1728.5,641.5,349.0,419.0,0.8329356,178.1,110.7,89.0,128.9,113.4,35.1,124.1,120.9,76.1,154.1,81.3,108.1,21.7,148.5,163.0,26.8,1
1,15,1410.5,564.0,275.0,560.0,0.49107143,163.8,114.6,51.0,145.3,72.9,39.2,150.2,125.4,110.8,152.0,63.3,123.9,63.6,112.1,123.8,60.6,1
2,15,1729.0,642.5,352.0,417.0,0.8441247,177.5,112.3,89.7,129.7,113.6,34.9,129.6,117.3,81.3,154.7,80.6,108.2,22.6,148.5,161.3,27.6,1
1,16,1411.0,567.0,282.0,554.0,0.5090253,163.5,109.6,50.9,144.2,78.1,38.6,149.6,123.3,110.3,150.1,63.7,121.7,58.7,116.8,126.5,58.0,1
2,16,1728.5,643.0,349.0,414.0,0.84299517,179.1,116.9,92.0,128.3,114.6,32.2,138.4,111.2,91.0,154.8,78.8,109.4,24.9,146.7,157.7,30.7,1
1,17,1409.5,572.0,287.0,546.0,0.525641,163.7,111.9,53.9,146.2,75.6,42.2,147.1,126.7,106.4,146.9,60.2,117.5,58.0,117.9,126.9,57.3,1
2,17,1727.0,643.0,350.0,408.0,0.85784316,176.8,113.5,89.9,132.1,115.3,32.4,134.6,119.3,81.7,157.0,84.9,114.6,23.6,147.7,159.0,29.7,1
1,18,1410.0,574.5,294.0,543.0,0.5414365,160.9,114.0,54.8,145.0,73.1,44.0,144.8,130.4,103.3,143.5,56.1,113.6,59.2,117.0,126.4,57.4,1
2,18,1727.5,644.5,347.0,411.0,0.8442822,178.3,113.7,93.2,133.5,117.1,35.9,141.8,106.2,93.5,158.8,83.8,109.8,20.5,153.1,160.4,26.0,1
1,19,1411.0,575.5,300.0,539.0,0.55658627,160.3,111.8,55.0,140.3,74.4,45.4,144.8,126.9,103.1,146.5,60.0,113.3,56.8,119.9,129.9,53.4,1
2,19,1730.0,645.0,340.0,410.0,0.8292683,178.3,114.9,90.2,133.6,115.8,31.2,139.8,112.8,89.5,163.0,85.5,116.1,24.6,147.0,157.7,30.7,1
1,20,1411.0,580.0,302.0,528.0,0.5719697,158.3,121.8,59.6,143.2,66.1,46.1,141.0,140.1,98.0,138.7,44.2,108.0,62.2,112.1,121.9,63.8,1
2,20,1729.0,644.0,340.0,402.0,0.84577113,173.9,119.5,91.5,133.2,114.2,28.2,149.2,111.7,94.0,167.7,89.2,124.4,28.0,142.4,154.3,35.3,1
1,21,1410.5,584.5,303.0,519.0,0.58381504,157.3,120.0,61.6,143.4,66.5,50.2,140.1,140.6,94.8,139.0,44.5,104.8,58.5,116.7,124.5,60.3,1
2,21,1729.0,644.5,336.0,401.0,0.8379052,175.5,118.6,90.0,136.1,112.7,29.2,147.0,112.7,94.0,166.1,88.8,125.0,28.6,141.9,153.3,36.2,1
