Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,1,1073.0,588.5,186.0,259.0,0.71814674,143.7,61.5,60.2,164.8,131.2,78.9,120.6,22.4,69.6,124.2,159.6,61.7,121.7,52.4,47.3,138.7,0
2,1,876.0,604.0,168.0,204.0,0.8235294,154.3,89.3,70.0,174.2,92.1,74.3,154.9,58.1,74.7,153.1,121.4,72.4,159.4,17.8,16.6,166.2,0
1,2,1073.5,588.0,187.0,260.0,0.7192308,145.3,59.8,59.9,164.0,131.2,76.6,119.7,20.2,69.7,123.4,161.2,62.6,119.8,54.6,49.5,136.2,0
2,2,875.5,601.5,169.0,209.0,0.80861247,138.5,89.6,55.0,174.4,98.9,70.3,159.9,56.3,85.6,160.0,119.7,82.7,144.6,28.6,29.2,157.6,0
1,3,1073.0,587.5,190.0,263.0,0.72243345,141.5,65.7,56.2,164.2,128.0,75.8,122.5,25.6,72.2,125.7,157.4,63.4,121.9,52.2,46.7,139.2,0
2,3,876.5,604.5,167.0,207.0,0.8067633,153.3,93.2,66.2,176.7,89.9,71.9,154.7,58.6,75.0,152.5,121.2,72.6,159.4,17.9,16.4,166.3,0
1,4,1073.5,586.5,189.0,263.0,0.7186312,144.5,59.5,60.3,163.2,131.6,76.6,121.6,21.9,70.9,124.9,160.1,63.6,119.7,55.0,49.0,136.2,0
2,4,876.5,600.5,169.0,209.0,0.80861247,134.8,95.3,45.9,178.5,96.0,64.3,159.9,58.6,90.8,160.4,116.7,88.5,141.2,31.7,32.2,154.8,0
1,5,1074.5,586.5,191.0,267.0,0.7153558,141.2,65.2,56.3,162.5,127.7,74.7,127.4,30.8,77.0,130.0,153.0,67.8,121.5,53.0,46.3,139.2,0
2,5,876.5,601.0,169.0,214.0,0.78971964,162.1,88.5,63.2,177.2,93.9,68.8,161.7,57.9,83.1,160.0,120.2,81.9,151.7,25.1,25.2,157.9,0
1,6,1073.5,585.5,189.0,267.0,0.7078652,143.5,60.1,59.2,162.1,130.1,74.4,126.4,26.6,74.8,129.3,155.8,67.4,119.4,55.7,48.2,136.7,0
2,6,877.0,599.5,168.0,217.0,0.7741935,165.2,90.8,60.9,170.9,93.0,68.1,163.5,62.2,87.3,162.1,115.8,85.9,151.7,24.8,25.2,158.3,0
1,7,1073.0,585.5,188.0,269.0,0.6988848,145.2,54.1,62.5,160.0,133.0,73.7,125.4,25.6,74.9,128.1,157.2,67.9,116.6,59.3,49.3,134.8,0
2,7,874.5,597.0,167.0,218.0,0.76605505,140.6,90.4,48.9,179.4,96.9,61.5,159.4,59.0,94.5,160.5,115.4,94.8,139.3,35.4,35.5,149.8,0
1,8,1072.5,585.5,185.0,269.0,0.68773234,144.8,51.1,63.0,157.8,134.6,73.1,127.5,24.1,76.9,130.5,157.6,70.9,114.1,61.5,52.8,131.5,0
2,8,873.0,594.5,168.0,223.0,0.75336325,131.2,97.4,36.6,174.5,97.2,57.2,156.6,58.9,98.0,157.9,115.7,97.2,133.9,40.0,39.0,147.1,0
1,9,1073.5,585.0,187.0,270.0,0.6925926,143.3,57.1,60.4,159.5,130.8,73.0,128.5,30.0,79.0,131.3,152.5,71.8,117.5,57.8,49.0,135.7,0
2,9,874.0,592.0,166.0,228.0,0.7280702,153.0,80.2,62.4,161.0,105.7,72.8,159.8,54.8,85.0,157.7,123.6,82.0,142.6,32.9,30.2,154.4,0
1,10,1073.5,584.5,187.0,273.0,0.6849817,140.8,64.1,57.1,159.8,125.2,71.1,128.7,34.9,80.6,131.5,147.5,73.4,121.2,54.1,45.7,139.1,0
2,10,874.5,592.0,165.0,236.0,0.6991525,148.9,82.1,54.7,173.8,109.2,71.1,150.6,51.2,85.5,146.8,130.6,78.6,136.8,38.1,34.3,150.8,0
