Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,1,1042.0,303.0,130.0,358.0,0.36312848,101.1,97.9,11.8,47.6,117.2,34.7,171.1,93.3,174.6,166.0,87.7,173.0,86.2,82.4,92.1,99.3,1
2,1,1239.0,363.0,136.0,460.0,0.29565218,156.8,78.2,2.1,167.5,111.1,13.0,179.7,68.7,175.1,179.7,107.9,172.8,76.1,98.2,106.4,79.3,1
1,2,1042.5,303.5,131.0,359.0,0.3649025,103.2,99.1,12.2,43.8,117.7,35.6,170.8,93.0,175.4,166.4,88.7,171.9,86.9,82.1,91.6,99.4,1
2,2,1238.5,363.5,135.0,459.0,0.29411766,157.0,78.5,2.0,168.0,111.3,13.7,179.8,69.7,175.9,179.2,107.2,173.1,76.5,97.6,106.1,79.8,1
1,3,1044.0,304.0,132.0,358.0,0.36871508,98.4,97.6,11.2,46.7,116.9,35.1,172.7,92.9,174.9,165.7,88.1,172.2,86.4,81.8,92.2,99.7,1
2,3,1238.5,364.0,135.0,460.0,0.29347825,157.8,78.0,1.7,169.2,112.3,14.5,179.2,70.0,176.2,179.6,106.5,173.8,76.3,97.8,106.3,79.6,1
1,4,1042.5,304.5,131.0,357.0,0.3669468,96.7,99.0,12.3,39.7,115.0,32.9,170.6,92.8,175.9,166.0,88.5,171.7,86.7,82.1,91.4,99.8,1
2,4,1238.5,364.0,135.0,460.0,0.29347825,156.3,79.3,2.8,169.2,112.3,14.9,179.3,69.7,175.8,179.8,106.0,173.9,76.4,97.3,106.1,80.1,1
1,5,1044.0,305.0,134.0,358.0,0.37430167,102.5,98.7,12.2,30.8,118.1,36.3,170.1,92.1,176.5,165.7,88.6,171.1,86.5,81.7,91.4,100.3,1
2,5,1238.5,364.0,137.0,460.0,0.29782608,157.0,81.7,4.2,171.9,112.4,16.8,179.1,70.9,175.6,179.6,104.6,173.3,77.5,95.6,104.7,82.1,1
