Employee ID,Period_Start,Period_End,Phase_Lifting,Phase_Moving,Phase_Placing,Velocity_avg,Velocity_abs,Fatigue or not
1,1,10,1,0,0,52.3263,52.3263,1
2,1,10,1,0,0,-82.2864,82.2864,1
1,2,11,1,0,0,58.4406,58.4406,1
2,2,11,1,0,0,-46.2564,46.2564,1
1,3,12,1,0,0,70.5498,70.5498,1
2,3,12,1,0,0,-49.5126,49.5126,1
1,4,13,1,0,0,92.2005,92.2005,1
2,4,13,1,0,0,-39.1023,39.1023,1
1,5,14,1,0,0,102.66,102.66,1
2,5,14,1,0,0,-71.2686,71.2686,1
1,6,15,1,0,0,101.517,101.517,1
2,6,15,1,0,0,-49.6569,49.6569,1
1,7,16,1,0,0,94.1211,94.1211,1
2,7,16,1,0,0,-31.6659,31.6659,1
1,8,17,1,0,0,101.7726,101.7726,1
2,8,17,1,0,0,-14.7417,14.7417,1
1,9,18,1,0,0,110.5113,110.5113,1
2,9,18,1,0,0,-22.8048,22.8048,1
1,10,19,1,0,0,104.2605,104.2605,1
2,10,19,1,0,0,-17.8032,17.8032,1
1,11,20,1,0,0,80.6016,80.6016,1
2,11,20,1,0,0,-4.9578,4.9578,1
1,12,21,1,0,0,76.1676,76.1676,1
2,12,21,1,0,0,10.9059,10.9059,1
1,13,22,1,0,0,56.4267,56.4267,1
2,13,22,1,0,0,14.0118,14.0118,1
1,14,23,1,0,0,38.4492,38.4492,1
2,14,23,1,0,0,28.7886,28.7886,1
1,15,24,1,0,0,31.6047,31.6047,1
2,15,24,1,0,0,22.5813,22.5813,1
1,16,25,1,0,0,54.8829,54.8829,1
2,16,25,1,0,0,3.5613,3.5613,1
1,17,26,1,0,0,67.5627,67.5627,1
2,17,26,1,0,0,-9.5706,9.5706,1
1,18,27,1,0,0,36.1938,36.1938,1
2,18,27,1,0,0,7.722,7.722,1
1,19,28,1,0,0,43.1613,43.1613,1
2,19,28,1,0,0,11.1744,11.1744,1
1,20,29,1,0,0,53.0613,53.0613,1
2,20,29,1,0,0,-8.85,8.85,1
1,21,30,1,0,0,37.9059,37.9059,1
2,21,30,1,0,0,-4.0221,4.0221,1
1,22,31,1,0,0,68.1726,68.1726,1
2,22,31,1,0,0,-1.2408,1.2408,1
1,23,32,1,0,0,52.0347,52.0347,1
2,23,32,1,0,0,-29.0622,29.0622,1
1,24,33,1,0,0,65.511,65.511,1
2,24,33,1,0,0,-17.625,17.625,1
1,25,34,1,0,0,50.0181,50.0181,1
2,25,34,1,0,0,-6.7527,6.7527,1
1,26,35,1,0,0,36.2733,36.2733,1
2,26,35,1,0,0,-4.0395,4.0395,1
1,27,36,1,0,0,47.5017,47.5017,1
2,27,36,1,0,0,-8.8539,8.8539,1
1,28,37,1,0,0,35.9796,35.9796,1
2,28,37,1,0,0,-27.1605,27.1605,1
1,29,38,1,0,0,46.9458,46.9458,1
2,29,38,1,0,0,-21.7368,21.7368,1
1,30,39,1,0,0,50.8434,50.8434,1
2,30,39,1,0,0,-31.86,31.86,1
1,31,40,1,0,0,33.471,33.471,1
2,31,40,1,0,0,-17.9523,17.9523,1
1,32,41,1,0,0,47.2545,47.2545,1
2,32,41,1,0,0,5.7006,5.7006,1
1,33,42,1,0,0,47.5635,47.5635,1
2,33,42,1,0,0,-11.8974,11.8974,1
1,34,43,1,0,0,56.6901,56.6901,1
2,34,43,1,0,0,-2.1318,2.1318,1
1,35,44,1,0,0,51.0885,51.0885,1
