Employee ID,Period_Start,Period_End,Phase_Lifting,Phase_Moving,Phase_Placing,Velocity_avg,Velocity_abs,Fatigue or not
1,1,10,1,0,0,-1.9125,1.9125,0
2,1,10,1,0,0,-29.3307,29.3307,0
1,2,11,1,0,0,6.1875,6.1875,0
2,2,11,1,0,0,-12.3339,12.3339,0
1,3,12,1,0,0,6.4722,6.4722,0
2,3,12,1,0,0,-7.5504,7.5504,0
1,4,13,1,0,0,11.661,11.661,0
2,4,13,1,0,0,-6.3129,6.3129,0
1,5,14,1,0,0,17.1543,17.1543,0
2,5,14,1,0,0,-2.0574,2.0574,0
1,6,15,1,0,0,16.4286,16.4286,0
2,6,15,1,0,0,-0.8946,0.8946,0
1,7,16,1,0,0,16.0533,16.0533,0
2,7,16,1,0,0,-11.2506,11.2506,0
1,8,17,1,0,0,12.2619,12.2619,0
2,8,17,1,0,0,-3.4593,3.4593,0
1,9,18,1,0,0,4.9176,4.9176,0
2,9,18,1,0,0,-20.9946,20.9946,0
1,10,19,1,0,0,8.2737,8.2737,0
2,10,19,1,0,0,-19.806,19.806,0
1,11,20,1,0,0,2.3883,2.3883,0
2,11,20,1,0,0,-46.1295,46.1295,0
1,12,21,1,0,0,-0.9096,0.9096,0
2,12,21,1,0,0,-72.9828,72.9828,0
1,13,22,1,0,0,1.0056,1.0056,0
2,13,22,1,0,0,-65.5869,65.5869,0
1,14,23,1,0,0,2.5392,2.5392,0
2,14,23,1,0,0,-76.0086,76.0086,0
1,15,24,1,0,0,3.3978,3.3978,0
2,15,24,1,0,0,-67.2741,67.2741,0
1,16,25,1,0,0,8.1501,8.1501,0
2,16,25,1,0,0,-65.5302,65.5302,0
1,17,26,1,0,0,11.4033,11.4033,0
2,17,26,1,0,0,-49.4418,49.4418,0
1,18,27,1,0,0,6.4986,6.4986,0
2,18,27,1,0,0,-29.9601,29.9601,0
1,19,28,1,0,0,7.2405,7.2405,0
2,19,28,1,0,0,-16.9977,16.9977,0
1,20,29,1,0,0,6.8667,6.8667,0
2,20,29,1,0,0,4.3374,4.3374,0
1,21,30,1,0,0,3.7932,3.7932,0
2,21,30,1,0,0,42.3096,42.3096,0
1,22,31,1,0,0,1.4217,1.4217,0
2,22,31,1,0,0,34.2885,34.2885,0
1,23,32,1,0,0,-7.9515,7.9515,0
2,23,32,1,0,0,31.8183,31.8183,0
1,24,33,1,0,0,5.2071,5.2071,0
2,24,33,1,0,0,18.4893,18.4893,0
1,25,34,1,0,0,-1.4505,1.4505,0
2,25,34,1,0,0,42.6984,42.6984,0
1,26,35,1,0,0,-3.5364,3.5364,0
2,26,35,1,0,0,11.817,11.817,0
1,27,36,1,0,0,-25.7052,25.7052,0
2,27,36,1,0,0,6.9129,6.9129,0
1,28,37,1,0,0,-25.0068,25.0068,0
2,28,37,1,0,0,-10.8792,10.8792,0
1,29,38,1,0,0,-24.6468,24.6468,0
2,29,38,1,0,0,-29.0658,29.0658,0
1,30,39,1,0,0,-20.9565,20.9565,0
2,30,39,1,0,0,-31.9029,31.9029,0
1,31,40,1,0,0,-820.788,820.788,0
2,31,40,1,0,0,739.0899,739.0899,0
1,32,41,1,0,0,-822.3219,822.3219,0
2,32,41,1,0,0,740.925,740.925,0
1,33,42,1,0,0,-843.7272,843.7272,0
2,33,42,1,0,0,737.5662,737.5662,0
1,34,43,1,0,0,-857.6088,857.6088,0
2,34,43,1,0,0,712.554,712.554,0
1,35,44,1,0,0,-836.5962,836.5962,0
2,35,44,1,0,0,721.3455,721.3455,0
1,36,45,1,0,0,-809.8173,809.8173,0
2,36,45,1,0,0,740.208,740.208,0
1,37,46,1,0,0,-823.659,823.659,0
2,37,46,1,0,0,743.7267,743.7267,0
1,38,47,1,0,0,-869.0379,869.0379,0
2,38,47,1,0,0,731.5881,731.5881,0
1,39,48,1,0,0,-898.7004,898.7004,0
2,39,48,1,0,0,729.4041,729.4041,0
1,40,49,1,0,0,-82.9098,82.9098,0
2,40,49,1,0,0,-33.168,33.168,0
1,41,50,1,0,0,-97.5627,97.5627,0
2,41,50,1,0,0,-34.3605,34.3605,0
1,42,51,1,0,0,-123.7416,123.7416,0
2,42,51,1,0,0,-32.8257,32.8257,0
1,43,52,1,0,0,-130.9638,130.9638,0
2,43,52,1,0,0,-22.0476,22.0476,0
1,44,53,1,0,0,-166.2153,166.2153,0
2,44,53,1,0,0,-14.3472,14.3472,0
1,45,54,1,0,0,-198.15,198.15,0
2,45,54,1,0,0,-28.4232,28.4232,0
1,46,55,1,0,0,-190.2033,190.2033,0
2,46,55,1,0,0,-27.3135,27.3135,0
1,47,56,1,0,0,-164.0658,164.0658,0
2,47,56,1,0,0,0.2577,0.2577,0
1,48,57,1,0,0,-172.1049,172.1049,0
2,48,57,1,0,0,-2.961,2.961,0
1,49,58,1,0,0,-212.4135,212.4135,0
2,49,58,1,0,0,-7.8834,7.8834,0
1,50,59,1,0,0,-199.8828,199.8828,0
2,50,59,1,0,0,3.2406,3.2406,0
1,51,60,1,0,0,-187.4535,187.4535,0
2,51,60,1,0,0,11.0211,11.0211,0
1,52,61,1,0,0,906.9426,906.9426,0
2,52,61,1,0,0,-1057.9023,1057.9023,0
1,53,62,1,0,0,938.0838,938.0838,0
2,53,62,1,0,0,-1076.1603,1076.1603,0
1,54,63,1,0,0,974.2503,974.2503,0
2,54,63,1,0,0,-1096.2645,1096.2645,0
1,55,64,1,0,0,976.7334,976.7334,0
