Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,1,1790.0,666.5,260.0,529.0,0.49149337,154.0,60.7,36.9,166.9,126.5,57.7,154.5,31.1,113.0,148.7,144.7,103.7,97.7,68.8,81.9,111.6,0
2,1,1512.5,633.0,251.0,264.0,0.95075756,162.2,96.3,67.7,162.9,90.1,75.4,160.9,69.2,80.5,151.6,112.6,77.4,164.0,14.7,11.3,170.0,0
1,2,1790.5,666.0,259.0,528.0,0.4905303,153.3,61.2,37.1,167.2,126.4,59.6,155.6,32.4,114.2,149.3,144.0,102.9,98.4,66.8,81.8,113.1,0
2,2,1513.0,633.5,252.0,265.0,0.9509434,160.3,95.4,64.3,162.4,92.2,74.0,157.4,67.1,81.4,147.9,113.7,78.5,159.7,18.2,14.2,167.8,0
1,3,1790.0,669.5,260.0,535.0,0.48598132,154.0,61.3,37.9,169.0,126.5,61.0,157.4,33.4,115.0,151.2,142.7,103.6,99.2,65.5,81.6,113.7,0
2,3,1512.5,633.5,249.0,265.0,0.93962264,160.0,97.2,63.2,160.9,91.0,73.1,157.1,70.4,83.7,147.8,113.1,78.5,160.4,17.8,13.3,168.4,0
1,4,1789.0,668.5,262.0,531.0,0.49340865,152.9,61.4,37.8,167.9,126.9,62.0,157.1,33.2,115.0,150.4,143.3,102.7,99.2,64.9,81.8,114.1,0
2,4,1513.0,634.0,250.0,264.0,0.9469697,157.8,98.2,60.2,159.5,91.6,72.2,156.8,69.4,84.6,146.3,112.8,80.1,158.4,19.4,15.2,167.0,0
1,5,1790.0,669.0,260.0,530.0,0.49056605,154.6,58.9,40.6,168.5,128.8,62.8,156.0,32.4,112.8,149.8,143.7,102.1,99.5,65.9,80.3,114.2,0
2,5,1512.0,635.0,250.0,264.0,0.9469697,158.1,93.9,59.2,161.1,97.7,73.8,156.4,64.7,83.9,146.9,117.1,79.1,153.1,23.9,19.2,163.8,0
1,6,1791.0,670.5,258.0,531.0,0.4858757,155.2,57.7,41.8,168.8,129.9,63.4,154.7,31.9,111.6,148.9,143.9,101.9,99.4,66.6,79.7,114.2,0
2,6,1512.5,634.5,249.0,265.0,0.93962264,157.8,95.9,60.2,160.3,96.0,74.7,156.5,66.3,83.9,145.9,115.1,79.9,156.1,21.3,17.7,165.0,0
1,7,1792.0,671.0,256.0,530.0,0.48301888,154.2,58.3,39.4,169.1,130.5,63.3,155.2,31.3,112.9,149.3,144.5,102.1,97.8,67.3,81.6,113.4,0
2,7,1512.0,635.0,250.0,266.0,0.9398496,155.1,97.5,60.7,158.3,92.2,72.7,157.2,67.3,82.5,145.3,114.1,78.7,158.1,19.5,15.1,167.2,0
1,8,1793.0,670.5,254.0,531.0,0.47834274,154.3,58.9,39.8,169.2,129.9,63.8,155.4,31.8,112.8,149.0,144.3,101.5,98.6,66.2,81.0,114.3,0
2,8,1511.5,636.0,249.0,266.0,0.93609023,156.2,95.9,59.4,158.7,95.8,73.7,158.4,65.1,83.0,147.3,115.2,80.1,155.3,22.1,17.9,164.7,0
1,9,1791.5,670.0,257.0,528.0,0.48674244,153.5,59.0,38.3,168.7,131.0,64.2,154.0,30.1,112.5,147.4,146.0,100.6,97.4,66.8,82.5,113.4,0
2,9,1511.5,635.5,249.0,265.0,0.93962264,159.0,92.7,61.6,165.0,98.3,75.8,159.4,66.7,85.9,148.8,115.1,80.9,154.3,22.5,19.1,164.0,0
1,10,1790.5,672.5,259.0,533.0,0.4859287,151.8,60.2,35.6,167.6,130.8,63.1,154.7,29.7,114.2,147.8,146.4,101.5,95.7,67.7,84.5,112.1,0
2,10,1511.5,636.0,251.0,266.0,0.943609,158.1,96.9,59.5,163.1,95.7,75.3,160.2,67.1,85.0,148.6,112.5,82.2,156.4,20.4,17.9,165.3,0
1,11,1790.0,671.5,260.0,533.0,0.4878049,151.4,60.6,34.7,168.1,130.6,62.6,154.7,29.4,115.0,147.5,147.0,101.9,95.4,68.0,85.6,111.0,0
2,11,1511.5,636.5,249.0,267.0,0.9325843,152.6,98.3,55.1,159.1,94.4,71.0,162.7,67.9,87.1,150.9,114.5,81.3,153.4,23.3,19.2,164.1,0
1,12,1790.5,672.5,259.0,533.0,0.4859287,151.5,60.9,35.0,168.4,130.6,62.8,155.2,30.2,114.8,148.4,146.0,102.2,95.9,67.8,84.6,111.8,0
2,12,1511.0,636.0,250.0,268.0,0.9328358,154.7,99.7,58.0,160.0,92.5,72.9,161.5,68.8,84.7,149.9,113.5,79.6,157.7,19.5,15.9,166.9,0
1,13,1789.5,671.0,261.0,530.0,0.49245283,150.8,62.4,33.0,168.9,130.5,62.4,155.4,29.6,114.9,148.1,147.0,101.7,95.3,68.1,85.3,111.3,0
2,13,1509.0,637.0,244.0,268.0,0.9104478,156.9,95.1,59.0,163.0,89.0,66.0,179.8,70.3,91.4,170.4,109.9,88.3,154.1,22.9,21.1,161.8,0
1,14,1789.0,670.5,262.0,531.0,0.49340865,149.8,63.9,31.1,168.4,129.4,61.6,156.3,30.2,116.3,149.3,146.2,102.6,95.0,67.8,86.1,111.1,0
2,14,1508.5,637.0,245.0,268.0,0.9141791,156.1,96.6,58.5,165.6,89.0,67.4,179.8,69.8,89.9,169.1,109.6,87.2,155.1,21.5,20.1,163.2,0
1,15,1790.0,669.5,260.0,529.0,0.49149337,149.6,63.6,30.5,168.0,129.6,60.8,154.2,28.7,115.5,147.4,147.5,102.3,94.1,68.9,86.8,110.2,0
2,15,1508.0,636.0,244.0,268.0,0.9104478,157.3,96.4,59.4,164.1,88.4,67.3,177.6,70.6,90.1,167.6,110.3,86.2,155.8,21.2,19.5,163.4,0
1,16,1788.5,669.0,263.0,530.0,0.49622643,149.2,63.9,29.5,167.8,130.2,61.2,153.3,27.4,115.3,146.2,149.0,101.4,93.5,69.0,87.9,109.6,0
2,16,1507.0,636.0,246.0,268.0,0.91791046,158.8,94.7,60.0,167.8,90.4,68.7,173.9,67.9,87.9,163.7,114.0,82.4,154.7,21.7,20.0,163.6,0
1,17,1788.5,670.5,263.0,533.0,0.4934334,150.0,63.1,32.0,167.9,129.3,61.2,154.4,29.3,115.3,147.6,147.0,102.2,95.1,68.1,86.1,110.8,0
2,17,1507.0,635.5,246.0,269.0,0.91449815,159.7,93.4,62.0,170.9,92.5,71.6,173.8,68.2,87.7,163.6,113.1,82.7,155.4,20.9,19.5,164.2,0
1,18,1789.0,670.0,262.0,532.0,0.4924812,149.1,64.8,30.9,168.1,128.5,60.9,155.0,30.6,115.7,148.6,145.2,103.2,95.7,67.5,85.1,111.6,0
2,18,1507.0,636.0,248.0,270.0,0.91851854,160.1,92.9,61.9,175.4,94.4,73.8,176.0,69.3,89.5,165.2,112.6,83.1,154.8,20.6,20.2,164.3,0
1,19,1788.0,669.0,264.0,532.0,0.49624062,149.8,63.1,32.3,167.3,128.8,60.4,155.6,29.9,115.4,149.0,145.9,103.3,95.4,68.4,85.5,110.8,0
2,19,1506.5,635.5,247.0,269.0,0.91821563,164.0,93.5,65.0,176.6,92.4,74.7,173.3,70.9,88.3,163.2,110.6,82.9,158.5,17.7,17.4,166.4,0
1,20,1788.0,667.5,264.0,531.0,0.49717513,150.1,63.0,32.9,167.8,128.6,60.6,153.7,29.8,114.5,146.9,146.3,102.3,95.9,68.0,84.7,111.4,0
2,20,1506.5,634.0,247.0,266.0,0.9285714,150.9,100.2,54.6,168.1,99.3,78.8,147.1,62.1,81.6,133.7,122.4,72.4,154.8,20.5,19.5,165.2,0
1,21,1788.5,668.5,263.0,535.0,0.49158877,152.4,61.6,34.5,169.3,130.1,61.9,153.2,28.9,113.3,146.6,147.3,101.4,96.0,68.2,84.4,111.3,0
2,21,1506.0,634.0,244.0,272.0,0.89705884,165.9,90.8,64.5,176.4,95.9,75.6,171.3,69.8,89.9,162.3,112.5,83.2,155.3,20.3,20.1,164.3,0
1,22,1789.5,668.0,261.0,538.0,0.4851301,152.3,61.5,36.0,168.6,129.0,61.5,153.4,30.2,113.2,147.0,146.2,101.8,97.5,67.5,82.9,112.1,0
2,22,1506.5,632.0,245.0,268.0,0.9141791,151.7,100.0,53.4,170.1,99.9,78.6,150.2,62.3,83.7,136.8,120.8,75.4,153.5,21.3,21.4,163.9,0
1,23,1789.0,667.5,262.0,539.0,0.48608536,152.5,60.5,36.8,167.8,129.2,61.2,153.3,30.5,112.9,147.6,145.1,102.5,97.2,68.0,82.4,112.4,0
2,23,1505.5,630.0,241.0,268.0,0.8992537,151.8,98.4,56.7,171.4,97.0,76.7,150.5,63.3,83.5,136.0,120.5,75.1,155.1,20.3,20.2,164.4,0
1,24,1789.5,666.5,261.0,543.0,0.48066297,153.7,59.3,37.7,167.8,129.9,60.6,151.6,29.1,111.0,146.4,146.1,102.1,97.0,69.3,81.9,111.8,0
2,24,1507.5,629.5,239.0,273.0,0.8754579,162.0,93.4,64.4,173.0,87.9,69.0,175.7,74.3,93.0,166.0,106.5,89.0,157.8,18.9,18.7,164.5,0
1,25,1790.5,664.5,259.0,547.0,0.4734918,152.9,60.9,36.2,167.8,128.2,59.6,153.2,31.4,113.8,147.6,144.0,104.1,97.2,68.6,82.4,111.9,0
2,25,1507.5,628.0,239.0,274.0,0.8722628,162.9,93.8,63.8,175.1,88.7,69.7,173.5,75.3,93.9,165.3,108.6,86.6,157.5,19.0,18.6,164.8,0
1,26,1790.0,662.0,260.0,552.0,0.4710145,153.5,59.8,35.8,168.2,129.2,59.5,153.1,30.6,114.7,147.4,144.7,104.7,95.6,69.6,84.1,110.6,0
2,26,1508.0,626.0,238.0,274.0,0.8686131,162.1,92.8,61.4,179.5,91.0,69.7,173.5,74.7,96.3,164.2,108.9,88.2,154.1,21.3,21.6,163.0,0
1,27,1790.0,661.5,260.0,557.0,0.46678635,155.3,58.3,38.3,169.2,128.6,59.0,152.7,31.9,114.7,147.1,143.4,105.6,96.7,69.6,82.7,111.0,0
2,27,1506.5,626.5,241.0,281.0,0.85765123,155.1,109.2,56.0,179.9,82.5,69.2,166.7,84.4,102.2,154.8,102.8,93.5,165.2,13.3,17.9,163.6,0
1,28,1789.5,659.5,261.0,557.0,0.46858168,156.7,56.3,40.2,168.7,129.0,58.5,153.6,32.8,115.0,148.1,142.7,106.6,96.5,70.5,82.3,110.7,0
2,28,1508.5,623.5,239.0,277.0,0.86281586,161.2,93.2,61.1,173.5,95.5,74.4,165.2,73.4,93.5,156.3,113.4,82.1,154.3,21.2,20.0,164.5,0
1,29,1788.5,658.5,263.0,559.0,0.470483,158.2,54.5,42.3,168.2,129.1,57.7,154.0,32.9,114.3,149.4,141.8,107.9,96.8,71.5,81.4,110.3,0
2,29,1505.5,621.5,239.0,289.0,0.8269896,157.1,108.3,54.5,173.1,84.6,69.4,163.3,79.6,99.2,153.0,107.6,90.0,162.8,15.2,19.6,162.4,0
1,30,1787.5,657.5,265.0,559.0,0.47406083,158.2,53.5,42.0,167.0,129.9,57.1,154.5,32.7,115.3,149.7,142.6,108.3,95.5,72.8,82.5,109.1,0
2,30,1505.0,618.5,238.0,295.0,0.8067797,161.0,107.5,57.7,171.3,82.1,68.8,167.9,81.5,99.1,153.5,105.7,90.4,165.2,13.3,17.6,163.9,0
1,31,1790.0,656.5,260.0,563.0,0.46181172,157.5,55.1,42.3,167.4,127.5,55.6,153.8,35.2,115.5,149.4,139.7,110.0,97.4,71.9,80.3,110.3,0
2,31,1508.0,616.0,238.0,290.0,0.8206897,151.4,103.1,48.1,158.2,96.6,70.6,153.3,71.0,94.6,144.7,118.9,81.8,151.2,25.9,23.6,159.3,0
1,32,1508.0,615.5,236.0,293.0,0.80546075,148.9,103.6,41.2,153.3,96.8,65.2,155.2,69.5,97.6,147.2,120.0,84.4,144.8,31.6,28.1,155.6,0
2,32,1790.0,654.5,260.0,565.0,0.460177,158.8,53.6,42.5,167.5,128.9,54.6,153.5,34.2,116.1,148.8,141.5,110.8,96.1,74.3,81.9,107.7,0
1,33,1790.0,651.5,260.0,567.0,0.4585538,157.4,54.1,39.1,167.4,130.0,52.9,153.3,32.4,117.4,149.1,142.5,112.7,93.2,77.0,85.0,104.8,0
2,33,1507.0,612.0,238.0,310.0,0.7677419,151.8,120.1,48.7,164.4,64.6,53.3,168.9,87.4,103.1,156.4,104.5,91.3,168.8,11.3,15.8,164.2,0
1,34,1789.5,651.0,261.0,576.0,0.453125,155.1,56.2,37.6,166.9,128.4,52.0,152.8,34.0,118.5,148.5,140.9,113.8,93.8,76.4,84.5,105.3,0
2,34,1507.5,609.5,239.0,313.0,0.7635783,145.4,111.3,40.0,169.1,90.7,67.1,168.3,80.2,107.9,154.0,107.8,94.6,151.2,23.5,27.6,157.6,0
1,35,1790.0,650.5,260.0,581.0,0.4475043,153.7,58.9,34.2,166.9,127.8,50.6,154.3,36.1,121.2,149.3,139.6,115.8,93.1,77.2,85.1,104.6,0
2,35,1507.0,607.5,236.0,319.0,0.7398119,143.3,106.5,35.1,172.4,96.9,66.7,165.5,75.2,110.3,154.1,109.9,96.9,141.6,30.2,35.1,153.1,0
1,36,1788.0,648.0,264.0,584.0,0.4520548,152.5,60.8,32.6,166.2,127.2,50.0,155.6,37.0,122.2,150.0,139.3,116.5,93.5,77.2,85.2,104.2,0
2,36,1506.5,605.5,235.0,321.0,0.73208725,145.9,106.6,38.4,169.7,96.7,68.1,163.4,75.1,107.0,154.8,109.3,96.2,145.0,28.6,31.8,154.5,0
1,37,1790.5,647.0,259.0,590.0,0.43898305,152.6,57.9,33.1,163.2,128.3,49.1,156.0,34.9,122.3,151.5,140.3,117.3,91.0,79.2,87.4,102.4,0
2,37,1507.5,603.0,235.0,328.0,0.7164634,142.8,109.0,34.8,178.5,97.8,68.9,166.1,78.4,110.9,159.5,108.2,97.0,143.8,28.9,32.5,154.8,0
1,38,1790.0,645.5,260.0,593.0,0.43844858,153.2,57.0,34.9,162.4,127.6,48.7,157.0,36.2,122.3,153.3,138.5,118.4,91.9,78.8,86.1,103.1,0
2,38,1507.0,599.5,234.0,335.0,0.6985075,146.1,105.2,37.5,166.8,97.4,68.7,168.6,80.4,114.0,158.0,110.1,94.8,142.7,28.7,33.6,155.1,0
1,39,1789.5,646.5,261.0,599.0,0.4357262,152.9,56.9,36.0,161.0,126.6,48.7,159.1,39.1,124.1,155.0,136.2,119.6,92.9,77.9,85.0,104.2,0
2,39,1506.0,597.5,230.0,341.0,0.6744868,145.6,111.7,43.0,173.6,95.0,75.0,171.3,88.4,112.7,161.6,103.2,95.9,154.7,20.0,24.3,160.9,0
1,40,1789.5,644.0,261.0,604.0,0.4321192,152.4,58.9,35.1,159.2,124.4,46.7,158.4,39.7,124.0,153.4,136.7,119.3,94.0,77.8,84.3,104.0,0
2,40,1505.0,591.5,232.0,349.0,0.6647564,144.7,110.9,36.8,174.6,101.2,75.3,167.9,85.7,114.4,158.0,105.8,96.5,147.7,25.9,28.7,157.7,0
1,41,1508.5,589.0,231.0,358.0,0.6452514,156.5,114.9,43.0,167.2,95.7,76.4,137.9,76.6,98.8,129.0,122.5,76.9,157.9,19.4,22.2,160.6,0
2,41,1788.5,643.0,263.0,610.0,0.43114755,151.5,59.6,33.7,158.7,124.6,46.3,161.1,41.7,127.2,155.7,135.5,121.5,93.3,78.3,85.5,103.0,0
1,42,1789.5,640.0,261.0,614.0,0.42508143,148.1,63.2,29.8,156.1,122.6,44.9,163.4,42.8,129.8,157.7,134.7,123.0,93.0,77.7,87.0,102.3,0
2,42,1508.5,583.5,231.0,365.0,0.6328767,155.2,106.7,36.4,149.3,98.8,67.1,145.0,70.1,104.1,139.4,122.2,86.7,143.1,31.8,34.0,151.1,0
1,43,1788.5,639.5,263.0,623.0,0.42215088,145.1,67.5,24.7,153.7,120.6,42.8,163.3,43.9,132.2,156.4,134.5,123.8,92.2,77.8,88.3,101.7,0
2,43,1507.5,581.5,235.0,369.0,0.6368564,143.7,106.5,23.8,159.0,106.6,66.3,169.2,81.1,125.7,158.3,110.4,104.9,130.4,40.3,44.6,144.8,0
1,44,1788.0,635.0,264.0,622.0,0.42443728,145.6,66.3,27.3,151.9,118.5,40.8,162.4,45.3,131.2,155.6,133.0,124.3,93.7,77.7,85.9,102.7,0
2,44,1508.0,576.5,232.0,379.0,0.6121372,151.2,102.0,21.4,151.9,101.8,52.4,157.5,76.8,128.4,151.5,125.6,98.7,123.4,49.4,51.5,135.7,0
1,45,1788.0,632.5,264.0,631.0,0.4183835,144.0,68.9,21.5,152.0,119.1,40.1,160.8,42.3,132.3,153.3,135.6,123.9,90.4,79.0,90.0,100.6,0
2,45,1508.0,574.5,232.0,385.0,0.6025974,155.6,100.1,23.1,158.0,99.1,49.5,160.3,79.6,131.4,152.3,123.9,100.6,123.1,49.5,51.8,135.5,0
1,46,1507.5,570.5,229.0,389.0,0.58868897,147.6,103.4,16.7,150.9,100.5,47.8,157.8,82.3,137.3,148.3,128.3,99.4,120.1,52.7,54.9,132.3,0
2,46,1788.5,631.0,263.0,638.0,0.4122257,142.5,69.5,20.1,151.9,119.1,39.4,157.3,40.5,131.2,150.0,137.1,123.0,89.6,79.7,90.7,99.9,0
1,47,1786.5,630.0,267.0,646.0,0.4133127,142.5,72.9,16.2,152.3,118.6,39.9,155.7,41.1,133.3,146.0,138.9,121.1,89.1,78.6,92.3,100.0,0
2,47,1508.5,565.0,231.0,398.0,0.580402,146.5,102.6,9.5,155.8,100.3,41.4,160.2,84.8,146.4,143.9,130.9,101.6,112.0,58.8,61.6,127.5,0
1,48,1508.0,561.5,226.0,403.0,0.56079406,142.2,108.3,2.3,148.6,98.1,37.6,168.6,95.9,160.7,151.5,122.3,113.7,110.6,60.5,64.8,124.0,0
