Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,1,999.5,368.5,163.0,429.0,0.37995338,150.0,109.5,19.2,136.7,86.9,5.9,164.8,112.9,157.6,166.4,64.9,164.1,90.3,81.0,89.5,99.2,1
2,1,1174.5,292.0,115.0,374.0,0.30748662,101.6,106.9,21.5,76.8,94.7,10.9,168.8,91.4,172.7,175.8,93.7,171.5,85.4,83.8,95.9,94.9,1
1,2,1002.0,369.0,168.0,428.0,0.39252338,152.1,110.0,19.2,137.7,86.3,6.2,168.8,111.5,159.5,170.0,64.4,164.5,90.8,80.2,89.0,100.1,1
2,2,1175.0,292.0,116.0,374.0,0.31016043,100.3,105.6,20.6,75.2,97.0,13.3,167.7,91.0,172.8,175.9,93.5,171.4,85.0,83.7,96.2,95.1,1
1,3,1001.0,369.5,166.0,425.0,0.39058822,158.6,110.7,21.0,142.2,89.0,8.0,177.3,107.0,162.7,177.8,68.9,167.9,89.7,81.0,90.3,99.0,1
2,3,1174.5,292.0,115.0,374.0,0.30748662,109.8,107.2,22.1,75.5,99.8,16.3,168.1,91.3,172.5,176.5,93.1,171.8,85.1,83.5,96.2,95.1,1
1,4,1001.0,371.0,168.0,424.0,0.3962264,162.1,110.4,22.5,140.5,95.0,12.7,178.9,106.1,162.0,179.5,69.2,167.1,87.9,82.3,91.9,97.9,1
2,4,1175.0,290.0,116.0,370.0,0.31351352,98.1,106.1,20.1,77.1,98.9,15.7,171.5,92.6,171.6,179.3,94.4,170.4,86.0,83.1,95.7,95.1,1
1,5,1001.5,374.0,169.0,416.0,0.40625,167.4,112.7,25.0,140.1,92.7,11.0,179.4,102.7,165.4,177.6,71.9,170.6,87.7,81.8,91.9,98.6,1
2,5,1174.5,292.5,115.0,371.0,0.30997303,127.9,106.7,21.2,79.8,98.7,15.0,169.6,90.7,173.0,177.3,94.6,170.9,85.5,83.7,96.3,94.5,1
