Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,1,1102.0,321.0,122.0,358.0,0.34078214,82.4,110.5,11.9,108.1,81.5,5.3,163.5,97.7,171.7,166.5,82.3,166.5,98.6,76.2,74.0,111.2,0
2,1,1331.5,401.0,161.0,350.0,0.46,144.8,81.6,11.3,172.9,118.8,38.6,156.5,40.8,124.4,157.5,137.4,119.3,92.9,80.2,83.6,103.3,0
1,2,1103.0,321.0,124.0,358.0,0.3463687,82.6,106.7,12.7,106.0,85.5,5.8,162.5,93.7,172.6,166.1,85.1,167.5,94.0,79.7,79.0,107.3,0
2,2,1332.0,400.0,162.0,352.0,0.46022728,144.6,81.7,11.1,174.0,119.1,39.5,157.2,40.3,124.6,158.0,136.5,120.3,92.8,79.6,84.4,103.2,0
1,3,1104.5,322.0,125.0,358.0,0.349162,83.4,107.1,14.1,107.9,84.2,4.2,159.6,91.7,172.0,163.5,87.1,166.3,93.0,80.0,80.3,106.7,0
2,3,1332.0,399.0,162.0,354.0,0.45762712,143.3,81.7,10.1,170.6,117.8,36.9,157.2,39.7,125.6,157.9,136.9,121.6,91.7,80.9,85.9,101.5,0
1,4,1334.0,398.0,164.0,356.0,0.46067417,143.3,79.9,14.4,172.0,112.7,34.7,159.7,41.6,125.3,154.1,136.4,119.6,94.3,78.0,83.7,104.0,0
2,4,1105.0,323.5,126.0,355.0,0.35492957,84.3,105.8,13.5,112.8,88.5,8.5,158.4,88.6,170.7,161.6,88.4,165.9,92.2,79.9,82.2,105.6,0
1,5,1106.5,325.0,127.0,352.0,0.36079547,89.6,104.6,13.6,173.9,88.5,8.6,157.8,87.5,171.2,160.4,89.7,165.0,91.1,79.9,83.7,105.3,0
2,5,1334.0,397.5,164.0,357.0,0.45938376,143.8,80.2,14.4,172.7,112.3,34.7,160.2,42.4,125.6,154.6,135.6,119.8,94.6,77.6,83.2,104.6,0
