Employee ID,Frame,Box x,Box y,Box width,Box height,Width-to-height ratio,right_shoulder&right_elbow - RIGHT_ELBOW - right_elbow&right_wrist,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&left_shoulder,right_shoulder&right_elbow - RIGHT_SHOULDER - right_shoulder&right_hip,left_shoulder&left_elbow - LEFT_ELBOW - left_elbow&left_wrist,left_shoulder&left_elbow - LEFT_SHOULDER - right_shoulder&left_shoulder,left_shoulder&left_elbow - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&right_knee - RIGHT_KNEE - right_knee&right_ankle,right_hip&right_knee - RIGHT_HIP - right_hip&left_hip,right_hip&right_knee - RIGHT_HIP - right_shoulder&right_hip,left_hip&left_knee - LEFT_KNEE - left_knee&left_ankle,left_hip&left_knee - LEFT_HIP - right_hip&left_hip,left_hip&left_knee - LEFT_HIP - left_shoulder&left_hip,right_shoulder&left_shoulder - RIGHT_SHOULDER - right_shoulder&right_hip,right_shoulder&left_shoulder - LEFT_SHOULDER - left_shoulder&left_hip,right_hip&left_hip - RIGHT_HIP - right_shoulder&right_hip,right_hip&left_hip - LEFT_HIP - left_shoulder&left_hip,Fatigue or not
1,1,1201.5,272.5,125.0,323.0,0.3869969,162.8,106.1,22.1,144.6,111.9,31.3,178.4,93.1,169.2,171.4,92.1,170.2,84.0,80.7,97.6,97.7,0
2,1,1079.5,336.5,127.0,403.0,0.31513646,67.2,112.3,11.0,75.0,85.2,13.1,162.1,94.5,168.4,160.8,78.8,168.6,101.3,72.1,74.0,112.6,0
1,2,1201.0,271.5,126.0,321.0,0.39252338,161.5,107.2,23.5,145.9,111.3,30.4,178.4,93.4,168.6,171.3,92.0,170.5,83.7,80.9,97.9,97.4,0
2,2,1080.0,337.5,128.0,405.0,0.3160494,71.6,107.3,10.2,87.2,86.8,9.9,168.7,93.7,169.5,168.3,79.6,170.4,97.2,76.9,75.9,110.0,0
1,3,1201.0,270.5,126.0,319.0,0.39498433,162.4,106.7,23.0,145.7,111.9,31.0,178.5,93.7,168.4,171.5,92.0,170.5,83.7,80.9,97.9,97.5,0
2,3,1079.5,336.5,127.0,403.0,0.31513646,65.0,116.4,11.2,78.9,80.3,11.3,161.3,98.8,168.2,160.0,75.5,168.2,105.2,69.0,69.4,116.3,0
1,4,1200.5,270.5,127.0,319.0,0.39811912,158.8,106.7,23.9,146.8,112.2,30.6,180.0,93.1,168.4,169.9,92.2,170.7,82.8,81.6,98.5,97.1,0
2,4,1079.0,337.5,126.0,407.0,0.30958232,71.9,107.2,9.2,86.6,85.8,9.3,167.3,94.6,169.0,167.2,79.3,169.7,98.0,76.5,74.5,111.0,0
1,5,1200.0,271.0,128.0,318.0,0.4025157,162.9,107.9,24.9,146.9,112.5,31.0,179.4,92.9,168.4,170.4,93.4,169.8,82.9,81.5,98.7,96.8,0
2,5,1078.5,336.5,125.0,405.0,0.30864197,72.7,106.4,9.2,87.1,85.3,7.9,167.4,95.0,169.7,167.7,78.9,170.4,97.2,77.5,74.6,110.7,0
1,6,1199.0,270.0,128.0,318.0,0.4025157,160.4,107.7,25.2,146.7,112.7,30.8,179.9,92.3,168.9,169.9,93.3,170.0,82.5,81.9,98.9,96.7,0
2,6,1079.0,337.5,126.0,407.0,0.30958232,72.8,104.2,7.9,83.7,87.9,9.8,165.7,92.0,168.3,166.1,81.6,169.0,96.3,78.1,76.3,109.4,0
1,7,1195.0,270.0,136.0,318.0,0.42767295,152.8,111.1,29.6,147.4,113.5,30.7,178.0,91.5,169.2,167.3,94.6,169.0,81.4,82.8,99.3,96.4,0
2,7,1079.0,337.0,124.0,406.0,0.30541873,72.1,108.2,8.4,86.3,83.4,8.2,163.6,94.4,165.8,164.0,79.6,166.9,99.8,75.3,71.4,113.5,0
1,8,1195.5,272.0,135.0,320.0,0.421875,155.2,109.5,27.6,145.2,114.0,31.6,176.5,91.2,169.9,166.5,94.1,169.0,81.9,82.3,98.9,96.9,0
2,8,1077.5,338.5,125.0,409.0,0.30562347,65.6,116.7,10.6,79.4,79.1,10.9,156.6,96.1,165.1,160.4,76.1,167.2,106.1,68.2,69.0,116.8,0
1,9,1194.5,273.0,135.0,322.0,0.41925466,152.1,110.1,28.7,145.6,113.5,30.8,174.6,91.2,169.5,164.5,93.7,169.7,81.4,82.7,99.3,96.6,0
2,9,1078.0,337.0,126.0,408.0,0.30882353,65.3,118.2,12.4,85.7,78.1,9.8,155.5,96.2,165.4,159.1,76.4,167.0,105.9,68.3,69.1,116.6,0
1,10,1195.5,273.5,133.0,323.0,0.4117647,155.3,108.5,26.1,141.6,114.3,32.5,175.0,91.0,170.4,165.0,93.0,169.7,82.4,81.8,98.6,97.3,0
2,10,1077.5,336.5,125.0,405.0,0.30864197,64.0,116.5,12.0,74.8,79.9,10.4,155.9,95.8,166.4,159.9,76.3,168.3,104.5,69.5,70.6,115.4,0
1,11,1196.0,273.5,132.0,321.0,0.41121495,159.2,107.3,24.6,140.3,114.2,32.9,175.1,91.1,170.5,165.2,93.1,169.3,82.7,81.3,98.3,97.6,0
2,11,1078.0,337.0,126.0,404.0,0.31188118,62.9,114.3,12.6,73.0,85.7,14.0,155.3,92.2,165.5,158.8,79.3,167.4,101.7,71.6,73.4,113.3,0
1,12,1195.0,274.0,132.0,322.0,0.4099379,160.0,108.5,26.1,141.7,114.0,32.3,173.9,91.0,170.3,163.9,94.5,168.4,82.4,81.7,98.7,97.2,0
2,12,1077.5,338.5,125.0,405.0,0.30864197,64.4,113.6,13.1,95.0,86.4,13.2,156.1,92.3,165.9,159.8,80.2,167.1,100.5,73.2,73.6,112.7,0
1,13,1195.5,274.0,131.0,322.0,0.4068323,155.8,109.6,27.0,141.6,113.1,31.3,173.3,91.5,169.8,163.4,94.0,169.1,82.6,81.8,98.7,96.9,0
2,13,1076.5,341.0,125.0,406.0,0.30788177,66.7,115.9,15.0,110.3,86.7,13.8,154.4,92.1,165.0,157.7,80.8,165.9,100.9,72.9,72.9,113.3,0
1,14,1194.5,274.0,131.0,320.0,0.409375,159.2,110.6,28.2,143.2,112.9,30.9,172.0,91.6,169.3,162.1,94.9,168.7,82.4,82.0,99.1,96.4,0
2,14,1076.0,345.5,124.0,407.0,0.3046683,69.9,112.7,12.0,114.6,85.0,11.5,151.9,92.0,164.4,155.5,81.4,165.2,100.7,73.5,72.4,113.4,0
1,15,1194.0,276.0,132.0,320.0,0.4125,153.8,110.9,29.3,143.8,112.2,29.5,170.1,90.6,170.0,160.3,94.1,169.6,81.6,82.7,99.4,96.3,0
2,15,1079.0,348.0,128.0,408.0,0.3137255,89.0,99.6,10.2,128.8,94.7,12.2,159.8,81.1,164.3,160.5,90.4,164.8,89.4,82.5,83.3,104.8,0
1,16,1192.5,279.5,135.0,323.0,0.41795665,152.1,114.6,32.2,143.8,111.4,29.1,168.4,90.9,170.0,158.5,95.2,168.5,82.4,82.2,99.1,96.3,0
